filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
azrm A side_A 05-04-06_000700.wav, 0.3157954216003418, 0.05752906575798988, 3942.414275087673, 1708.9139539605737, 5387.759676846591, 0.3370077730429293, -332.71539306640625, -47.55495071411133, -100.96327209472656, 12.351095199584961, -20.581342697143555, 35.85015106201172, 16.388416290283203, -14.101789474487305, -16.029409408569336, -0.31319093704223633, -1.9879004955291748, 10.115528106689453, 10.552041053771973, -8.513763427734375, -11.67629623413086, -7.5431623458862305, -2.9780211448669434, 16.52943992614746, 23.243562698364258, 20.8919620513916, azrm rep and soundfiles,
azrm A2 side_A 05-04-06_000804.wav, 0.3742038309574127, 0.04793926700949669, 3626.942280249389, 1781.2613386393448, 5161.5087890625, 0.298211669921875, -311.83953857421875, -36.774322509765625, -117.26435852050781, 5.967288970947266, -6.1518473625183105, 33.90953826904297, 8.927488327026367, -9.274269104003906, -18.864498138427734, 3.5231308937072754, -1.0519602298736572, 5.2284464836120605, 12.77271842956543, -10.23011302947998, -9.734461784362793, -4.833998680114746, -5.419256210327148, 18.80966567993164, 23.400232315063477, 19.309032440185547, azrm rep and soundfiles,
azrm A3 side_A 05-04-06_000907.wav, 0.32693904638290405, 0.04634413495659828, 4143.1923892237855, 1893.578572938641, 5839.970327524038, 0.33292142427884613, -398.90185546875, -44.51606369018555, -78.20988464355469, -2.9004764556884766, -22.297529220581055, 36.145164489746094, 14.290952682495117, -2.0533688068389893, -8.831637382507324, -9.101740837097168, -5.694615840911865, 3.9738755226135254, 13.352693557739258, 5.07370662689209, -3.24186635017395, -6.644066333770752, -14.871411323547363, -3.651216506958008, 1.2965425252914429, 6.947254180908203, azrm rep and soundfiles,
azrm A4 side_B 05-04-06_000845.wav, 0.28273332118988037, 0.0443420372903347, 4508.266152726105, 1712.5116044613217, 5931.331460782797, 0.40466429455445546, -369.3265686035156, -66.0119857788086, -92.31119537353516, 26.245594024658203, -8.043081283569336, 36.95317077636719, -4.176938056945801, -15.00001049041748, -10.577044486999512, 11.541703224182129, 9.211270332336426, -0.06376718729734421, -4.025667190551758, -6.909218788146973, 3.4476916790008545, 12.722370147705078, 3.298419952392578, -5.898624897003174, -23.166105270385742, -24.356563568115234, azrm rep and soundfiles,
azrm A5 side_B 05-04-06_000902.wav, 0.28741365671157837, 0.07747486233711243, 4416.381459743153, 1530.963290734631, 5667.726307744565, 0.37314028532608695, -326.3321533203125, -33.14228439331055, -81.10621643066406, 3.207197666168213, -35.468021392822266, 27.234329223632812, 13.668601989746094, 8.602654457092285, -3.1543185710906982, -2.753750801086426, -13.122420310974121, -4.062458038330078, 11.531414985656738, 4.820533275604248, 9.024909973144531, 4.87071418762207, -12.47431755065918, -10.299500465393066, -15.742626190185547, -11.554909706115723, azrm rep and soundfiles,
azrm A6side_B 05-04-06_000912.wav, 0.3639736473560333, 0.07562389969825745, 3713.283676422692, 1628.5067041571133, 5138.050936808629, 0.3148377004977876, -287.0467224121094, -30.220277786254883, -115.60718536376953, 6.983974456787109, -19.990999221801758, 36.880210876464844, 9.84911823272705, -0.7556193470954895, -10.738631248474121, -6.936312675476074, -6.367666721343994, 1.6559476852416992, 13.846710205078125, 4.516329765319824, -2.742462635040283, -7.836950778961182, -16.721603393554688, -4.497035503387451, 3.8641581535339355, 12.268060684204102, azrm rep and soundfiles,
azrm B side_B 05-04-06_000232.wav, 0.22250472009181976, 0.05838936194777489, 4141.200886760216, 1742.6177478133402, 5479.782074863471, 0.3449825546116505, -378.3387451171875, -35.62763595581055, -83.02168273925781, -2.713956594467163, -3.6053507328033447, 41.52606964111328, -0.49886876344680786, -15.492183685302734, -4.562299728393555, -2.5366740226745605, 4.14713191986084, 17.750484466552734, -4.931047439575195, -9.333955764770508, -6.22954797744751, 5.228828430175781, 12.061807632446289, 13.865619659423828, -1.926944375038147, -10.423394203186035, azrm rep and soundfiles,
azrm B2 side_B 05-04-06_000255.wav, 0.27039575576782227, 0.04767702892422676, 3909.3563046843615, 1662.2623415274188, 5134.648951480263, 0.3379163240131579, -341.61065673828125, -45.95962142944336, -100.54078674316406, 27.336856842041016, 4.386460781097412, 33.580482482910156, -16.411334991455078, -20.0643253326416, 2.8998281955718994, 11.32088565826416, 1.2795828580856323, 2.503352165222168, -12.399653434753418, -0.23453228175640106, 9.659757614135742, 2.655425786972046, -6.5570783615112305, -11.85129165649414, -8.993268966674805, 9.772533416748047, azrm rep and soundfiles,
azrm B3 side_B 05-04-06_004558.wav, 0.2688089907169342, 0.055518802255392075, 4206.003244971686, 1710.1416763248292, 5694.445688790138, 0.3590211080848624, -360.3742370605469, -58.26046371459961, -87.44855499267578, 15.932631492614746, -11.192176818847656, 41.54145812988281, -1.3357962369918823, -10.897114753723145, -10.842129707336426, -1.0573457479476929, 8.653521537780762, 14.195871353149414, -7.161518573760986, -8.441365242004395, -3.352741003036499, 1.8040090799331665, 12.62569522857666, 13.85123062133789, -1.465604305267334, -8.072505950927734, azrm rep and soundfiles,
azrm C side_B 05-04-06_000513.wav, 0.3575803339481354, 0.03455279767513275, 4121.816712019531, 1737.578150054845, 5591.788926235465, 0.3496434411337209, -348.28997802734375, -57.202205657958984, -103.28916931152344, 14.047362327575684, -18.36745834350586, 35.40611267089844, 5.754345417022705, 0.9796414375305176, -18.387115478515625, -8.95394229888916, 7.262356758117676, 8.017141342163086, 5.045922756195068, -4.054893970489502, -12.085709571838379, -5.793243408203125, -2.9606781005859375, 18.540084838867188, 20.287384033203125, 20.045875549316406, azrm rep and soundfiles,
